FromNodeId,ToNodeId
1,2
1,9
1,396
1,606
2,6
2,67
2,110
2,534
2,636
3,2
3,290
4,2
4,6
4,9
4,12
4,37
4,101
4,139
4,152
4,216
4,219
4,240
4,243
4,283
4,329
4,335
4,408
4,422
4,514
4,524
4,536
4,606
4,636
4,1021
5,2
5,9
5,67
5,101
5,110
5,152
5,241
5,283
5,308
5,335
5,396
5,408
5,471
5,514
5,524
5,534
5,606
5,636
5,668
5,791
5,805
6,2
6,4
6,9
6,10
6,12
6,37
6,96
6,98
6,101
6,110
6,120
6,139
6,152
6,216
6,219
6,224
6,240
6,243
6,283
6,329
6,334
6,335
6,396
6,408
6,422
6,471
6,507
6,514
6,524
6,534
6,536
6,537
6,581
6,603
6,606
6,636
6,668
6,714
6,742
6,791
6,844
6,1021
6,1135
7,2
7,4
7,12
7,28
7,67
7,94
7,105
7,112
7,113
7,140
7,152
7,157
7,190
7,192
7,194
7,206
7,224
7,238
7,243
7,278
7,284
7,290
7,296
7,319
7,323
7,335
7,367
7,371
7,396
7,447
7,494
7,507
7,537
7,539
7,545
7,548
7,575
7,581
7,583
7,603
7,714
7,742
7,803
7,899
7,957
7,1028
7,1040
7,1053
7,1058
7,1133
7,1157
7,1218
7,1233
7,1235
7,1243
7,1267
7,1290
7,1294
7,1317
7,1318
7,1410
7,1411
7,1425
7,1506
7,1537
7,1545
7,1569
7,1575
7,1616
7,1645
7,1646
7,1661
7,1684
7,1722
7,1775
7,1819
7,1825
7,1999
7,2022
7,2026
7,2034
7,2039
7,2045
7,2057
7,2060
7,2080
7,2081
7,2082
7,2116
7,2128
7,2138
7,2144
7,2328
7,2357
7,2571
7,2914
7,2932
8,2
8,110
8,284
8,791
8,970
8,2056
9,2
9,335
9,408
9,514
9,791
10,2
10,4
10,6
10,9
10,12
10,13
10,36
10,37
10,41
10,46
10,67
10,77
10,94
10,96
10,101
10,110
10,112
10,113
10,139
10,140
10,152
10,160
10,164
10,169
10,190
10,192
10,193
10,206
10,216
10,221
10,224
10,238
10,240
10,243
10,278
10,283
10,284
10,290
10,296
10,323
10,324
10,329
10,334
10,360
10,367
10,385
10,408
10,412
10,422
10,471
10,506
10,514
10,524
10,534
10,535
10,536
10,537
10,575
10,581
10,586
10,603
10,606
10,607
10,636
10,646
10,699
10,714
10,742
10,751
10,791
10,818
10,839
10,843
10,871
10,927
10,930
10,970
10,975
10,990
10,1021
10,1135
10,1145
10,1164
10,1205
10,1218
10,1235
10,1411
10,1478
10,1516
10,1528
10,1568
10,1668
10,1819
10,1825
10,2014
11,2
11,4
11,6
11,9
11,12
11,37
11,38
11,46
11,77
11,96
11,98
11,101
11,120
11,139
11,140
11,152
11,160
11,192
11,216
11,219
11,224
11,240
11,243
11,278
11,283
11,324
11,329
11,334
11,335
11,360
11,385
11,408
11,422
11,471
11,506
11,507
11,514
11,524
11,534
11,536
11,537
11,581
11,603
11,606
11,636
11,699
11,713
11,714
11,742
11,818
11,871
11,975
11,1021
11,1135
11,1243
11,1346
11,7151
12,2
12,4
12,6
12,9
12,13
12,28
12,36
12,37
12,41
12,58
12,61
12,63
12,69
12,77
12,81
12,90
12,98
12,105
12,110
12,112
12,127
