61,1548,-1,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
69,1548,-1,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
83,1548,1,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
113,1548,-1,4,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0
121,1548,-1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
125,1548,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,1548,-1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
163,1548,-1,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
191,1548,-1,8,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0
219,1548,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
230,1548,1,5,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0
236,1548,-1,8,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0
297,1548,-1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
317,1548,-1,5,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0
319,1548,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,1548,1,5,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0
413,1548,-1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
486,1548,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
538,1548,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,1548,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
829,1548,-1,4,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
872,1548,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
881,1548,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
947,1548,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
951,1548,-1,9,0,1,1,3,0,0,1,2,0,1,0,0,0,0,0
959,1548,-1,8,0,3,1,1,1,0,0,2,0,0,0,0,0,0,0
1028,1548,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
