14,3441,1,0.1087321522289084,0.15590394114320122,7,0,0,0,11,0,0,0,10,0,0,0,5,0,0,0
97,3441,1,0.21231795714834528,0.08116981318784995,7,0,1,0,22,0,1,0,3,0,0,0,1,0,3,0
522,3441,1,0.2594225951532037,-0.0040104371374425725,8,0,0,0,17,0,1,0,1,0,0,0,0,0,0,0
1036,3441,1,0.21861273694563232,0.18978287361118554,6,0,2,0,9,0,4,0,12,0,1,0,5,0,0,0
1062,3441,1,0.15060288719781573,-0.011510246600533116,17,0,0,0,27,0,2,0,4,0,2,0,1,0,0,0
1209,3441,1,0.9953860815811072,-0.08019889353666601,5,0,0,0,3,0,1,0,5,0,0,0,3,0,0,0
1798,3441,1,0.17909619926549386,0.020963964268081618,10,0,1,0,9,0,1,0,13,0,0,0,4,0,0,0
2187,3441,1,0.08049118106203522,0.049665221652949766,26,0,1,0,45,0,1,0,5,0,2,0,0,0,0,0
2364,3441,1,0.2359306382673108,-0.010515918032976744,2,0,0,0,15,0,1,0,5,0,0,0,1,0,0,0
2399,3441,1,0.05870263372358354,0.0011198183120743523,5,0,3,0,13,0,2,0,13,0,1,0,5,0,1,0
2481,3441,1,0.3046553920302459,0.5697417731454999,11,0,0,0,14,0,0,0,11,0,0,0,4,0,0,0
2559,3441,1,0.1390673872941645,-0.011034652974960946,14,0,0,0,36,0,0,0,6,0,1,0,1,0,0,0
2705,3441,1,0.09382137564049887,0.037271394106698115,6,0,0,0,23,0,2,0,13,0,0,0,6,0,0,0
3235,3441,1,0.9953860815811072,-0.08019889353666601,14,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
3312,3441,1,0.07252267158471358,0.009294389362531935,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
3441,5764,1,0.9953860815811072,-0.08019889353666601,1,0,0,0,37,2,0,0,8,5,0,0,18,3,0,0
3441,6021,1,0.9953860815811072,-0.08019889353666601,10,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
3441,1798,1,0.9953860815811072,-0.08019889353666601,4,0,0,0,9,1,0,0,13,0,0,0,10,1,0,0
3441,5825,1,0.0553820075062115,0.0322606939349971,9,0,0,0,21,0,0,0,16,1,0,0,10,0,0,0
3441,5257,1,0.0,0.0,6,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
